source,target,edge_type
3424550,422446008,member_of
3424550,422446007,member_of
3424550,422446012,member_of
3424550,255726882,member_of
3424550,422445989,member_of
3424550,422445992,member_of
3424550,422445986,member_of
3424550,422445988,member_of
3424550,422445997,member_of
3424550,422445991,member_of
3424550,422446004,member_of
3424550,422445982,member_of
3424550,422446001,member_of
3424550,422445981,member_of
3424550,422445998,member_of
3424550,422445987,member_of
3424550,422446006,member_of
3424550,255726889,member_of
3424550,255727210,member_of
3424550,255727267,member_of
3424550,287805772,member_of
3424550,287805779,member_of
3424550,287805775,member_of
3424552,262803226,member_of
3424552,262803240,member_of
3424552,262803248,member_of
3424552,262803235,member_of
3424552,262803264,member_of
3424552,69676130,member_of
3424552,262803244,member_of
3424552,262803267,member_of
3424552,262803241,member_of
3424552,262803246,member_of
3424552,262803254,member_of
3424552,69708200,member_of
3424552,262803243,member_of
3424552,262803230,member_of
3424552,69708201,member_of
3424552,262803266,member_of
3424552,262803233,member_of
3424552,262803231,member_of
3424552,262803236,member_of
3424552,262803259,member_of
3424552,262803239,member_of
3424552,262803249,member_of
3424552,262803238,member_of
3424552,262803227,member_of
3424552,262803268,member_of
3424552,262803223,member_of
3424552,262803225,member_of
3424552,287801137,member_of
3424552,262803260,member_of
3424552,69676115,member_of
3424552,69676359,member_of
3424552,69676255,member_of
3424552,262803242,member_of
3424552,262803255,member_of
3424552,262803237,member_of
3424552,262803247,member_of
3424552,262803234,member_of
3424552,69676250,member_of
3424552,262803232,member_of
3424559,255727129,member_of
3424559,255727138,member_of
3424559,255727135,member_of
3424559,255727132,member_of
3424559,255727139,member_of
3424559,255727128,member_of
3424559,255727143,member_of
3424559,255727144,member_of
3424559,255727134,member_of
3424559,255727199,member_of
3424559,255727275,member_of
3424559,255727133,member_of
3424559,255727272,member_of
3424559,255727130,member_of
3424559,255727137,member_of
3424559,255727193,member_of
3424559,255727142,member_of
3424559,255727140,member_of
3424559,255727194,member_of
3424559,255727145,member_of
3424559,255727131,member_of
3424559,255727141,member_of
3424559,255727136,member_of
3424872,255739692,member_of
3424872,255739688,member_of
3424872,255739672,member_of
3424873,255739529,member_of
3424873,255739524,member_of
3424873,317857355,member_of
3424873,255739665,member_of
3424873,317857356,member_of
3424873,255739663,member_of
3424873,317855506,member_of
3424873,255739684,member_of
3424873,255739683,member_of
3424873,255739519,member_of
3424873,317859079,member_of
3424873,317859091,member_of
3424873,317859090,member_of
3424873,317859084,member_of
3424874,255739554,member_of
3424874,255739525,member_of
3424875,287802981,member_of
3424875,255739693,member_of
3424875,287804012,member_of
3424875,287801658,member_of
3424875,287804014,member_of
3424875,287804016,member_of
3424875,57836918,member_of
3424875,287804010,member_of
3424875,287804017,member_of
3424875,255739556,member_of
3424875,287798716,member_of
3424875,287798711,member_of
3424875,287802977,member_of
3424875,287802971,member_of
3424875,287802972,member_of
3424875,287354677,member_of
3424875,287354678,member_of
3424877,255739652,member_of
3424877,287801165,member_of
3424877,335303780,member_of
3424877,335303786,member_of
3424877,255739555,member_of
3424877,287801150,member_of
3424877,287801148,member_of
3424877,287801259,member_of
3424878,255739689,member_of
3424878,317859089,member_of
3424878,255739698,member_of
3424878,255739527,member_of
3424878,255739520,member_of
3424880,255739671,member_of
3424880,255739676,member_of
3424882,294347572,member_of
3424882,294347573,member_of
3424882,141917164,member_of
3424882,294089731,member_of
3424882,294089730,member_of
3424882,141918989,member_of
3424882,255739662,member_of
3424882,261463734,member_of
3424882,141917233,member_of
3424882,186370067,member_of
3424882,186370075,member_of
3424882,186370065,member_of
3424882,186370079,member_of
3424882,186370083,member_of
3424882,186370084,member_of
3424882,261463745,member_of
3424882,261463746,member_of
3424882,261463728,member_of
3424882,29731369,member_of
3424882,69576267,member_of
3424882,261463744,member_of
3424882,261463742,member_of
3424882,255739687,member_of
3424882,383961446,member_of
3424882,255739681,member_of
