object_id,object_type_id,is_created,is_deleted,version_delta,tag_count_before,tag_count_after,tag_add_count,tag_remove_count,tag_modify_count,geo_shift_distance,length_change_ratio,centroid_shift,member_count_delta
40207774,0,0,0,1,5,6,1,0,0,0.014661897437426451,0,0.0,0
48702375,0,0,0,1,5,6,1,0,0,0.011119492004311874,0,0.0,0
48646193,0,0,0,1,6,7,1,0,0,0.043630543460796346,0,0.0,0
48641266,0,0,0,1,4,5,1,0,0,0.025122297439545204,0,0.0,0
48653497,0,0,0,1,4,5,1,0,0,0.026880609608438622,0,0.0,0
48656213,0,0,0,1,4,5,1,0,0,0.04447797038750992,0,0.0,0
48658972,0,0,0,1,4,5,1,0,0,0.05376545187223743,0,0.0,0
48698281,0,0,0,1,5,6,1,0,0,0.03923111949010466,0,0.0,0
48702465,0,0,0,1,6,7,1,0,0,0.025181921146081275,0,0.0,0
48704719,0,0,0,1,18,19,1,0,0,0.03659960116626398,0,0.0,0
48709935,0,0,0,1,17,18,1,0,0,0.05368898368145029,0,0.0,0
48714460,0,0,0,1,19,20,1,0,0,0.018665293422938923,0,0.0,0
48719862,0,0,0,1,18,19,1,0,0,0.034188036314195105,0,0.0,0
48717784,0,0,0,1,23,24,1,0,0,0.02506525966306939,0,0.0,0
48718610,0,0,0,1,18,19,1,0,0,0.046904246327823904,0,0.0,0
111218255,0,0,0,1,3,4,1,0,0,0.046926809215388846,0,0.0,0
111227203,0,0,0,1,4,5,1,0,0,0.04025272251777621,0,0.0,0
111230515,0,0,0,1,4,5,1,0,0,0.06705952885025294,0,0.0,0
111237912,0,0,0,1,4,5,1,0,0,0.044876768446959155,0,0.0,0
48721198,0,0,0,1,7,8,1,0,0,0.05997394031584265,0,0.0,0
111234009,0,0,0,1,4,5,1,0,0,0.025033604230443828,0,0.0,0
111236199,0,0,0,1,7,8,1,0,0,0.036550705050855094,0,0.0,0
111239966,0,0,0,1,4,5,1,0,0,0.022238985588798697,0,0.0,0
111242581,0,0,0,1,4,5,1,0,0,0.04447797038750992,0,0.0,0
111245474,0,0,0,1,4,5,1,0,0,0.05364126105697927,0,0.0,0
111240934,0,0,0,1,4,5,1,0,0,0.06318961639256591,0,0.0,0
111243636,0,0,0,1,7,8,1,0,0,0.025069119150764152,0,0.0,0
111244588,0,0,0,1,3,4,1,0,0,0.06313557620321081,0,0.0,0
111252569,0,0,0,1,3,3,1,1,0,0.05047506822230599,0,0.0,0
111260330,0,0,0,1,4,5,1,0,0,0.025207419237901242,0,0.0,0
